Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60,pctUrbanRate,True
Papua New Guinea,65.3,4.0,16.5,2.2,13.3,both
Vanuatu,65.3,5.6,15.7,1.9,25.5,both
Solomon Islands,65.2,5.0,15.5,1.6,34.9,both
Solomon Islands,65.2,5.0,15.5,1.6,24.7,both
Congo,64.7,1.8,16.4,1.4,67.8,both
Namibia,64.6,7.8,17.2,4.6,52,both
Africa,64.5,4.2,17.9,2.3,,left_only
South Africa,65.3,6.1,19.1,3.2,67.4,both
Togo,64.3,5.7,17.0,3.2,42.8,both
Eritrea,64.1,5.8,15.5,2.7,41.3,both
Haiti,64.1,1.5,16.8,0.5,57.1,both
Liberia,64.1,1.8,17.7,0.6,52.1,both
Burundi,63.8,4.6,16.5,2.4,13.7,both
Benin,63.4,4.5,17.4,2.4,48.4,both
Niger,63.3,2.5,17.2,1.2,16.6,both
Afghanistan,63.2,-0.1,15.2,-0.3,26,both
Angola,63.1,4.8,17.0,3.2,66.8,both
Micronesia,63.0,5.7,14.7,1.8,22.9,both
Ivory Coast,62.9,5.3,17.1,2.9,51.7,both
Mali,62.8,1.2,17.5,0.3,43.9,both
South Sudan,62.8,4.0,17.8,2.3,20.2,both
Burkina Faso,62.7,5.1,16.8,2.9,30.6,both
Nigeria,62.6,2.9,18.2,1.3,52,both
Zambia,62.5,5.9,16.5,3.3,44.6,both
Cameroon,62.4,4.2,17.1,2.5,57.6,both
DR Congo,62.4,4.8,16.6,2.5,45.6,both
Botswana,62.2,6.6,16.2,3.8,70.9,both
Equatorial Guinea,62.2,2.7,17.6,2.3,73.1,both
Guinea,61.0,2.8,16.5,1.6,36.5,both
Sierra Leone,60.8,2.3,17.0,1.0,42.9,both
Zimbabwe,60.7,6.1,15.6,3.4,34.3,both
Guinea-Bissau,60.2,5.6,15.5,2.8,44.2,both
Chad,59.6,3.3,16.5,1.6,23.5,both
Kiribati,59.4,6.7,13.7,2.1,55.6,both
Mozambique,58.1,7.2,15.8,4.5,37.1,both
Eswatini,57.7,9.8,15.1,5.3,24.2,both
Somalia,56.5,5.2,14.5,2.8,,left_only
Central African Republic,53.1,6.1,13.2,3.6,42.2,both
Lesotho,50.7,6.5,13.4,4.0,29,both
Monaco,,,,,100,right_only
Nauru,,,,,100,right_only
Vatican City,,,,,100,right_only
Anguilla (UK),,,,,100,right_only
Bermuda (UK),,,,,100,right_only
Cayman Islands (UK),,,,,100,right_only
Gibraltar (UK),,,,,100,right_only
Hong Kong (China),,,,,100,right_only
Macau (China),,,,,100,right_only
Sint Maarten (Netherlands),,,,,100,right_only
San Marino,,,,,97.5,right_only
U.S. Virgin Islands (US),,,,,95.9,right_only
Guam (US),,,,,94.9,right_only
Puerto Rico (US),,,,,93.6,right_only
Turks and Caicos Islands (UK),,,,,93.6,right_only
Northern Mariana Islands (US),,,,,91.8,right_only
Saint Pierre and Miquelon (France),,,,,90,right_only
Curaçao (Netherlands),,,,,89.1,right_only
Andorra,,,,,87.9,right_only
American Samoa (US),,,,,87.2,right_only
Greenland (Denmark),,,,,87.3,right_only
Western Sahara,,,,,86.8,right_only
Palau,,,,,81,right_only
Taiwan,,,,,78.9,right_only
Falkland Islands (UK),,,,,78.5,right_only
Marshall Islands,,,,,77.8,right_only
Palestine,,,,,76.7,right_only
Cook Islands (New Zealand),,,,,75.5,right_only
New Caledonia (France),,,,,71.5,right_only
Dominica,,,,,71.1,right_only
Tuvalu,,,,,64,right_only
French Polynesia (France),,,,,62,right_only
Isle of Man (UK),,,,,52.9,right_only
British Virgin Islands (UK),,,,,48.5,right_only
Niue (New Zealand),,,,,46.2,right_only
Aruba (Netherlands),,,,,43.7,right_only
Faroe Islands (Dennmark),,,,,42.4,right_only
"Saint Helena, Ascension and Tristan da Cunha (UK)",,,,,40.1,right_only
Guernsey (UK),,,,,31,right_only
Jersey (UK),,,,,31,right_only
Saint Kitts and Nevis,,,,,30.8,right_only
Liechtenstein,,,,,14.4,right_only
Montserrat (UK),,,,,9.1,right_only
Pitcairn Islands (UK),,,,,0,right_only
Tokelau (New Zealand),,,,,0,right_only
Wallis and Futuna (France),,,,,0,right_only
