Country,LifeExpectancyatBirth,GenderLifeGapatBirth,LifeExpectancyat60,GenderLifeGapat60,pctUrbanRate,HealthExpenditure
Equatorial Guinea,62.2,2.7,17.6,2.3,73.1,697.0
Guinea,61.0,2.8,16.5,1.6,36.5,109.0
Sierra Leone,60.8,2.3,17.0,1.0,42.9,257.0
Zimbabwe,60.7,6.1,15.6,3.4,34.3,198.0
Guinea-Bissau,60.2,5.6,15.5,2.8,44.2,123.0
Chad,59.6,3.3,16.5,1.6,23.5,79.0
Kiribati,59.4,6.7,13.7,2.1,55.6,278.0
Mozambique,58.1,7.2,15.8,4.5,37.1,118.0
Eswatini,57.7,9.8,15.1,5.3,24.2,696.0
Central African Republic,53.1,6.1,13.2,3.6,42.2,97.0
Lesotho,50.7,6.5,13.4,4.0,29.0,309.0
